TestTitle	テスト問題サンプル
TestSunTitle	日本語テスト第３週
#Dong
# Comment
Q(1)	QS	Meeting をカタカナで表記しなさい。		
Q(1)	S(1)	ミーティング		# 正解
Q(1)	S(2)	メーティング		
Q(1)	S(3)	ミッティング		
Q(1)	S(4)	メティング		
Q(1)	S(5)	ミティング		
Q(1)	S(6)	ミーチング		
Q(1)	KS	S(1)	10	
				
Q(2)	QS	computer をカタカナで表記しなさい。		
Q(2)	S(1)	コムピュータ		
Q(2)	S(2)	コムピューター		
Q(2)	S(3)	コンプータ		
Q(2)	S(4)	コンピュータ		
Q(2)	S(5)	コムピューター		
Q(2)	KS	S(4)	5

Q(3)	QS	computer をカタカナで表記しなさい。		
Q(3)	S(1)	コムピュータ		
Q(3)	S(2)	コムピューター		
Q(3)	S(3)	コンプータ		
Q(3)	S(4)	コンピュータ		
Q(3)	S(5)	コムピューター		
Q(3)	KS	S(4)	5

Q(4)	QS	computer をカタカナで表記しなさい。		
Q(4)	S(1)	コムピュータ		
Q(4)	S(2)	コムピューター		
Q(4)	S(3)	コンプータ		
Q(4)	S(4)	コンピュータ		
Q(4)	S(5)	コムピューター		
Q(4)	KS	S(4)	5

End